unix,date,fees_usd,volume_usd,tvl_usd
1787011200,2026-08-18,2.85,7271,NA
1787097600,2026-08-19,29.51,47720,NA
1787184000,2026-08-20,21.38,38059,NA
1787270400,2026-08-21,46.67,95005,NA
1787356800,2026-08-22,24.77,62110,NA
1787443200,2026-08-23,44.98,96594,NA
1787529600,2026-08-24,185,228227,NA
1787616000,2026-08-25,613,984676,NA
1787702400,2026-08-26,964,1700438,422789
1787788800,2026-08-27,1493,2071657,512885
1787875200,2026-08-28,2722,3168229,742881
1787961600,2026-08-29,5343,8907603,832776
1788048000,2026-08-30,13658,12135536,1100001
1788134400,2026-08-31,10173,10041834,2225194
1788220800,2026-09-01,15833,13699728,3311859
1788307200,2026-09-02,18499,19215625,4050484
1788393600,2026-09-03,36177,34571464,7790816
1788480000,2026-09-04,36698,42816189,12015838
1788566400,2026-09-05,20953,35114940,13252308
1788652800,2026-09-06,34113,44403566,15554010
1788739200,2026-09-07,37452,40812802,14802597
1788825600,2026-09-08,47002,43033770,14581054
1788912000,2026-09-09,58478,44441683,15308283
1788998400,2026-09-10,71424,46071134,17134356
1789084800,2026-09-11,148119,57875565,17503573
1789171200,2026-09-12,59036,43337084,18265173
1789257600,2026-09-13,89793,58109882,19911539
1789344000,2026-09-14,133088,70945937,19626322
1789430400,2026-09-15,137933,60640023,20935697
1789516800,2026-09-16,112859,54525078,19857283
1789603200,2026-09-17,148913,71375044,21023629
1789689600,2026-09-18,148030,80489985,23622266
1789776000,2026-09-19,120152,71880726,27099040
1789862400,2026-09-20,146458,70627552,29031638
1789948800,2026-09-21,165748,72830500,30121543
